Año(aaaa)-Trimestre(t),Orden del país, País,Estado de la información,Unidad multiplicadora,Moneda (USD),Valor
2007-1,1,Afganistán,Definitivo,Millones,Dólar estadounidense,0
2007-1,2,Albania,Definitivo,Millones,Dólar estadounidense,0
2007-1,3,Alemania,Definitivo,Millones,Dólar estadounidense,"7,469428693"
2007-1,4,Anguilla,Definitivo,Millones,Dólar estadounidense,"270,2771909"
2007-1,5,Antillas Holandesas,Definitivo,Millones,Dólar estadounidense,"0,646853906"
2007-1,6,Argentina,Definitivo,Millones,Dólar estadounidense,"0,923692616"
2007-1,7,Aruba,Definitivo,Millones,Dólar estadounidense,"11,62335111"
2007-1,8,Australia,Definitivo,Millones,Dólar estadounidense,"-0,802783879"
2007-1,9,Austria,Definitivo,Millones,Dólar estadounidense,"0,435735114"
2007-1,10,Bahamas,Definitivo,Millones,Dólar estadounidense,"0,661308806"
2007-1,11,Barbados,Definitivo,Millones,Dólar estadounidense,"4,264554342"
2007-1,12,Bélgica,Definitivo,Millones,Dólar estadounidense,"0,415819162"
2007-1,13,Belice,Definitivo,Millones,Dólar estadounidense,0
2007-1,14,Bermudas,Definitivo,Millones,Dólar estadounidense,"-9,861645608"
2007-1,15,Bolivia,Definitivo,Millones,Dólar estadounidense,"-0,001379715"
2007-1,16,Brasil,Definitivo,Millones,Dólar estadounidense,"503,41094"
2007-1,17,Canadá,Definitivo,Millones,Dólar estadounidense,"26,53603403"
2007-1,18,Chile,Definitivo,Millones,Dólar estadounidense,"4,951123541"
2007-1,19,China,Definitivo,Millones,Dólar estadounidense,"-1,525084756"
2007-1,20,Corea del Sur,Definitivo,Millones,Dólar estadounidense,"0,44968485"
2007-1,21,Chipre,Definitivo,Millones,Dólar estadounidense,"0,00004444"
2007-1,22,Costa Rica,Definitivo,Millones,Dólar estadounidense,"0,528772219"
2007-1,23,Cuba,Definitivo,Millones,Dólar estadounidense,0
2007-1,24,Curazao,Definitivo,Millones,Dólar estadounidense,"-0,432475"
